city,cats,price,people,district,airport,electricity,water,label
Kragujevac,0.0,70793.604221224,4.0,10,,0.14091833505269796,-0.049715530477967965,kvalitetan
Novi Sad,7.0,68310.45682444767,7.0,17,,-0.4097607538947534,0.12357465808883222,kvalitetan
Beograd,2.0,71223.46480021354,3.0,7,True,0.011035409571856586,-1.0341602683715196,nekvalitetan
Nis,6.0,97592.86901326175,4.0,16,True,-0.23626138230030225,0.2278592646483829,kvalitetan
Kragujevac,0.0,99696.84628915237,3.0,2,,-0.33636347165775937,0.20634152743965445,kvalitetan
Novi Sad,0.0,68557.643216774,5.0,12,,-0.011901557384973855,-0.2646165505730355,kvalitetan
Beograd,7.0,80166.88658850236,,2,True,-0.1911855389236492,-0.27732940213268226,kvalitetan
Nis,5.0,92226.67827850636,,3,True,0.025523608555818644,-0.2568067174472908,kvalitetan
Kragujevac,1.0,88968.76364164872,1.0,18,,0.23120478892229915,0.11092761351090824,kvalitetan
Novi Sad,,92210.57276814472,6.0,0,,0.3377255178700097,-0.14571306164097794,kvalitetan
Beograd,,73496.09294052832,1.0,1,True,0.055967831440790844,-0.39282038612590175,kvalitetan
Nis,1.0,59272.70209973074,7.0,2,True,0.931036553652783,0.13833709511825598,nekvalitetan
Kragujevac,,84287.6776887337,3.0,5,,-0.29427554111501103,-0.9862395118643361,nekvalitetan
Novi Sad,3.0,57463.35033704092,3.0,9,,1.0491157152151138,0.011657710833959604,nekvalitetan
Beograd,,63639.2415362282,4.0,10,True,0.7259093199370119,0.22121866577756297,nekvalitetan
Nis,7.0,59978.24723333209,4.0,10,True,-0.5062051300204585,-1.0720793799348032,nekvalitetan
Kragujevac,8.0,52209.39392505928,0.0,8,,-0.25079259761176803,-0.32181918894515055,kvalitetan
Novi Sad,1.0,69193.48452960316,4.0,6,,0.3233032559453048,-0.03848882752493893,kvalitetan
Beograd,0.0,68305.06354854863,,13,True,0.21688609359826325,-0.18472513181626896,kvalitetan
Nis,0.0,76377.82983471567,5.0,10,True,-0.043459064433625225,0.4895471977747372,kvalitetan
Kragujevac,9.0,66995.76893449773,2.0,11,,-0.09013140673620748,-0.030858275447594508,kvalitetan
Novi Sad,4.0,99410.67992994247,7.0,1,,0.09771688968803355,0.3127757119037285,kvalitetan
Beograd,4.0,98517.16955819297,5.0,0,True,-0.4560985702916056,0.19583242367375148,kvalitetan
Nis,7.0,88582.33348506542,,4,True,-0.08249130386773024,0.16239691388021388,kvalitetan
Kragujevac,0.0,58820.18320688546,1.0,10,,0.1730775262092575,0.17590448860987382,kvalitetan
Novi Sad,0.0,94341.05268210881,,12,,0.4489628400338812,1.0286212679195967,nekvalitetan
Beograd,1.0,59427.81820564289,5.0,4,True,-0.4710101915863902,1.0531694527741569,nekvalitetan
Nis,4.0,74523.49393428318,0.0,15,True,-0.8138703514481849,-0.6960348829622294,nekvalitetan
Kragujevac,5.0,55057.47621979329,1.0,12,,-0.9016441620984047,-0.3262483859157919,nekvalitetan
Novi Sad,,83641.76360033947,0.0,0,,-1.0300052762150276,0.1424985593561918,nekvalitetan
Beograd,9.0,96752.03112555413,5.0,2,True,-0.09430150678597961,0.9825650748094702,nekvalitetan
Nis,7.0,70549.89910249066,,13,True,-0.07587128981649024,-0.0032746657755360065,kvalitetan
Kragujevac,,59948.37075263143,,14,,-0.30551788867889956,1.2258173902134022,nekvalitetan
Novi Sad,7.0,64081.67541670318,5.0,3,,0.39990231325789405,-0.11686172813848125,kvalitetan
Beograd,9.0,62167.24363841396,,16,True,-0.2008565818046527,-0.12071692307781387,kvalitetan
Nis,4.0,95940.0915800971,3.0,18,True,0.47909623547431013,0.8790672558740065,nekvalitetan
Kragujevac,5.0,88187.22401245893,7.0,15,,0.15028409116645244,0.17236650039047813,kvalitetan
Novi Sad,,67015.0802312796,5.0,3,,0.011391451318366774,-0.03689764249819898,kvalitetan
Beograd,1.0,73016.14637397157,0.0,1,True,-0.3231243212288176,0.10670119926402692,kvalitetan
Nis,,82352.22089925618,2.0,7,True,0.32203808786636084,-0.2740659530288516,kvalitetan
Kragujevac,2.0,65945.22335114211,0.0,12,,-0.7583254923320148,0.9234808835564692,nekvalitetan
Novi Sad,8.0,79370.90528142086,,15,,-0.2566752336423528,-0.1371888275349149,kvalitetan
Beograd,1.0,96272.68194645943,1.0,16,True,0.0641238794911547,-0.02862681212214857,kvalitetan
Nis,1.0,73716.41945471849,4.0,13,True,-0.4718829370097433,-0.48972213848225893,nekvalitetan
Kragujevac,8.0,83805.63055731279,,5,,-0.3726229587359481,-0.8169050503374184,nekvalitetan
Novi Sad,8.0,86341.25311013607,3.0,16,,0.7422529421575506,-0.2040337595196983,nekvalitetan
Beograd,0.0,98375.32264426793,6.0,16,True,0.03389606814813192,0.02333707679108865,kvalitetan
Nis,,90197.40616794568,,0,True,0.27122060008900195,-0.24687712168876152,kvalitetan
Kragujevac,,61245.767165270925,4.0,12,,0.2711917259216339,-0.290199379884129,kvalitetan
Novi Sad,3.0,78526.56722077716,4.0,9,,-0.35622837805110374,0.9640359690158639,nekvalitetan
Beograd,3.0,88359.63812119741,1.0,11,True,0.24547071037643553,-0.12337024290158383,kvalitetan
Nis,5.0,80680.22509248224,4.0,2,True,0.009015556495141429,-0.32430733630814956,kvalitetan
Kragujevac,0.0,83397.08225367911,2.0,9,,1.0553000605822793,0.5426586953533494,nekvalitetan
Novi Sad,5.0,52840.372082346374,2.0,12,,0.8030711809373211,-0.49861933340702,nekvalitetan
Beograd,5.0,87408.3284592776,2.0,6,True,0.7759127921111324,-0.4379353924278614,nekvalitetan
Nis,1.0,74079.37622004887,6.0,6,True,-0.07957434262135882,-0.12713783211516008,kvalitetan
Kragujevac,5.0,62456.11100582068,2.0,12,,-0.06742094592310044,-0.8920831601612963,nekvalitetan
Novi Sad,0.0,99049.53571348867,1.0,12,,-0.11913581751446169,-0.16399408518007175,kvalitetan
Beograd,9.0,99551.66211460467,6.0,10,True,-0.9429502707355776,0.3126076259499375,nekvalitetan
Nis,9.0,63679.96442183043,0.0,7,True,0.2952800504422256,-0.9806629269570777,nekvalitetan
Kragujevac,4.0,69624.99243173498,4.0,6,,0.006433889991016434,0.28945762874123393,kvalitetan
Novi Sad,2.0,58997.520337282156,2.0,10,,-0.945153048193311,-0.8812428554911724,nekvalitetan
Beograd,5.0,96719.47656652144,2.0,0,True,-0.2806952868302409,0.11717908801935872,kvalitetan
Nis,6.0,86946.36059092352,3.0,9,True,0.03174311810313499,0.30717139527811654,kvalitetan
Kragujevac,5.0,66306.18476851103,4.0,6,,0.1863174112301528,0.7817296415281013,nekvalitetan
Novi Sad,4.0,81561.86666768692,1.0,10,,-0.09100714798923668,1.1928855566205,nekvalitetan
Beograd,4.0,50580.17951566416,7.0,2,True,-0.14071715950765792,0.32550707683930485,kvalitetan
Nis,6.0,59331.17104598132,5.0,2,True,-0.554672517839682,-0.7537234928028437,nekvalitetan
Kragujevac,4.0,67529.90776395294,4.0,13,,-0.8684800358132808,0.47037397742041165,nekvalitetan
Novi Sad,0.0,64881.16699361051,0.0,14,,0.046424699490027144,1.1717944154387145,nekvalitetan
Beograd,8.0,55132.671114127,2.0,19,True,-0.5241946040765006,0.7845603535442992,nekvalitetan
Nis,,76024.5899090118,7.0,6,True,-0.5704727830722236,-0.8090117462475481,nekvalitetan
Kragujevac,9.0,66755.44776429166,6.0,6,,-0.032403005293694914,0.49515663929227494,kvalitetan
Novi Sad,4.0,68532.79236730948,3.0,16,,0.11549133961666495,-0.44103311725971495,kvalitetan
Beograd,6.0,51008.782888351445,2.0,13,True,0.28859846082280927,-0.054198048084032974,kvalitetan
Nis,,98246.28920622557,2.0,18,True,-0.8409087683847803,-0.752008774460811,nekvalitetan
Kragujevac,1.0,60909.13060452527,6.0,16,,-0.3566159723072406,-1.1010020085404555,nekvalitetan
Novi Sad,8.0,74543.70153898207,6.0,10,,-1.2164739848677497,0.15432771899871311,nekvalitetan
Beograd,7.0,92365.59181825566,5.0,4,True,0.1443485613720298,0.8245253336292112,nekvalitetan
Nis,2.0,57800.71803616019,0.0,8,True,-0.5156263466703532,-0.6588082702651901,nekvalitetan
Kragujevac,7.0,51101.680802588184,6.0,0,,0.1721686735858361,-0.11039575249954772,kvalitetan
Novi Sad,2.0,97422.99115601092,2.0,6,,-0.17267775771827376,-0.1661736831010437,kvalitetan
Beograd,3.0,77847.08356416189,4.0,19,True,0.867857902861413,-0.5708578291129631,nekvalitetan
Nis,1.0,98057.39864691837,3.0,13,True,0.08066947550233229,0.3226647238102048,kvalitetan
Kragujevac,1.0,75306.53857485997,6.0,4,,-0.2731274689012215,-0.17054605064469514,kvalitetan
Novi Sad,4.0,53836.70381853007,7.0,4,,0.6501773604661558,0.01962675215619835,kvalitetan
Beograd,,54162.437884638995,3.0,17,True,0.051314400449241904,1.0766745655689798,nekvalitetan
Nis,4.0,53381.05645255954,1.0,14,True,0.27654206976173834,-1.1207636833558436,nekvalitetan
Kragujevac,0.0,95506.35471687217,4.0,15,,-0.652620698044726,-0.32130707647937606,nekvalitetan
Novi Sad,3.0,84856.98639039297,,7,,-0.30180838514272923,0.4016575100497376,nekvalitetan
Beograd,8.0,66497.88976776559,0.0,18,True,0.6558824709868751,0.9709373897620281,nekvalitetan
Nis,0.0,55389.86334136146,4.0,4,True,-0.03008593071052594,0.3051484540126006,kvalitetan
Kragujevac,6.0,81922.82482102158,,13,,0.3619791030806036,0.06541429039361488,kvalitetan
Novi Sad,4.0,52572.49067896125,0.0,15,,-0.11508889404818953,0.43381908401601105,kvalitetan
Beograd,1.0,56490.06096580774,1.0,2,True,-0.5077381756418914,-0.8125268999133015,nekvalitetan
Nis,0.0,54716.18268930148,6.0,18,True,1.0985475747015139,0.25131650313434806,nekvalitetan
Kragujevac,9.0,88292.6725563643,7.0,13,,0.22559805344672057,0.2657304101874057,kvalitetan
Novi Sad,,57436.77249014033,2.0,10,,0.2675182109401466,1.0327255234229142,nekvalitetan
Beograd,1.0,55026.73931312323,3.0,8,True,0.850179573192968,-0.28943590023372706,nekvalitetan
Nis,3.0,56950.19971824468,,17,True,0.5769297408235903,1.0653035572501035,nekvalitetan
Kragujevac,2.0,65233.73238019513,,6,,-0.08000343254400263,-0.15406270109225004,kvalitetan
Novi Sad,2.0,55544.26777166947,6.0,15,,-0.008164013087887168,-0.4215283594622121,kvalitetan
Beograd,5.0,63239.655578938946,,13,True,-1.212053380077361,0.039903530139611676,nekvalitetan
Nis,2.0,81406.79806751454,2.0,1,True,0.1763265533326694,0.5241495329548822,kvalitetan
Kragujevac,4.0,63533.28711734527,4.0,6,,0.27154256459775455,0.022629802187063952,kvalitetan
Novi Sad,2.0,68809.16578926914,3.0,16,,-1.1406504354391367,-0.384570819729626,nekvalitetan
Beograd,6.0,88916.13542365894,,11,True,-0.13237959952850423,-0.05973332744682264,kvalitetan
Nis,8.0,58132.35441731267,5.0,15,True,-0.09920162760211526,0.3401561835785788,kvalitetan
Kragujevac,9.0,84009.17455969266,0.0,11,,0.6081879849025835,0.6012919725719615,nekvalitetan
Novi Sad,1.0,63525.869700377225,0.0,2,,0.9559428167064806,0.009989873960838891,nekvalitetan
Beograd,9.0,50507.80361492145,7.0,9,True,-0.20027203958861214,-0.9225827254395119,nekvalitetan
Nis,9.0,50982.266004694684,0.0,3,True,0.7668993560680808,-0.530621550062268,nekvalitetan
Kragujevac,7.0,64232.56686936331,7.0,19,,0.44470548208956107,-0.19351874892472506,kvalitetan
Novi Sad,2.0,63224.82499034322,4.0,11,,-0.3284043959573499,-0.11627285811126181,kvalitetan
Beograd,0.0,73691.77479488206,2.0,5,True,-0.12953977476719408,0.9566261978201935,nekvalitetan
Nis,,88626.72361201834,6.0,17,True,-0.00033223152749189966,0.5024112964631537,kvalitetan
Kragujevac,,78716.24530406532,3.0,12,,-0.13329685583782291,-0.36230104212611225,kvalitetan
Novi Sad,2.0,62027.62040918235,4.0,0,,1.2079877103747756,-0.10643596547597275,nekvalitetan
Beograd,7.0,73624.805751237,7.0,17,True,0.42068163819941423,-0.8934686258932628,nekvalitetan
Nis,,84254.33143650396,7.0,17,True,0.8512357929819142,0.698264468503879,nekvalitetan
Kragujevac,2.0,88702.78431653697,2.0,8,,-0.04665386950524969,-0.2926147748251115,kvalitetan
Novi Sad,0.0,69918.67015958596,3.0,7,,-0.699888438437553,-0.47010678702429626,nekvalitetan
Beograd,2.0,61061.63875398221,6.0,13,True,0.8799036965954927,0.05208957916432558,nekvalitetan
Nis,2.0,97921.69698408816,7.0,10,True,-0.2749789627333926,-0.05152467592856387,kvalitetan
Kragujevac,8.0,76761.50655826594,3.0,13,,-0.03514936359457202,-0.08475653649516343,kvalitetan
Novi Sad,,57468.41979696589,,6,,-0.3670169131509829,0.043364333343436604,kvalitetan
Beograd,2.0,64961.87063413565,4.0,6,True,-0.279388471330839,0.09560969303457258,kvalitetan
Nis,6.0,92550.20886879446,,7,True,-0.8049203243606161,-0.30832739691228883,nekvalitetan
Kragujevac,0.0,81885.14768247996,7.0,0,,-0.6879566310005146,0.19560854873459968,nekvalitetan
Novi Sad,,99202.5232693733,7.0,12,,-0.4758914702098729,0.7866260819099318,nekvalitetan
Beograd,1.0,89334.09699202955,0.0,5,True,-0.41293044487007446,-0.2620430593866957,kvalitetan
Nis,0.0,72046.29322150772,5.0,7,True,-0.25917017239256523,0.11544858239171896,kvalitetan
Kragujevac,8.0,73034.25224663444,,2,,0.9029348796877135,-0.40959910398235255,nekvalitetan
Novi Sad,2.0,84640.64696389216,6.0,12,,-0.46489502553639184,-0.7406170336028157,nekvalitetan
Beograd,0.0,97386.6002081651,,10,True,0.279867348572742,-0.43453427924729565,kvalitetan
Nis,3.0,87998.36830819317,,14,True,-0.8755599153245474,-0.6854926858690518,nekvalitetan
Kragujevac,,84499.08079757213,3.0,10,,-1.0290849745980295,-0.30809074239866585,nekvalitetan
Novi Sad,7.0,79463.5228448249,2.0,9,,-0.045600442958786125,-0.2685531104581361,kvalitetan
Beograd,4.0,58372.67100200691,1.0,12,True,0.2393310924313886,-0.1433080440490618,kvalitetan
Nis,1.0,66438.04254191738,3.0,2,True,0.09927390219322518,0.14688586753976177,kvalitetan
Kragujevac,6.0,56637.358054290016,2.0,14,,0.7132919307256675,0.12242141279258886,nekvalitetan
Novi Sad,7.0,81673.38344172614,1.0,16,,-0.47951624122741354,-0.8877235204294951,nekvalitetan
Beograd,2.0,71569.95902183701,7.0,5,True,-0.8215671783069892,-0.5400919489573991,nekvalitetan
Nis,8.0,55815.15646097482,6.0,17,True,-1.0564340938078849,0.5296273861505043,nekvalitetan
Kragujevac,6.0,55186.724290227234,4.0,0,,0.4783692207632596,-0.7718557934315264,nekvalitetan
Novi Sad,5.0,77194.55711125118,0.0,6,,-0.5483251462125324,0.995262288399397,nekvalitetan
Beograd,8.0,85698.75245358795,6.0,7,True,0.21330652748579426,-0.6430125125351235,kvalitetan
Nis,8.0,55090.9915724861,6.0,17,True,-1.1539826579056323,0.3548033104797653,nekvalitetan
Kragujevac,7.0,50615.86873565038,5.0,15,,-0.4333551517219628,-1.0595612022682444,nekvalitetan
Novi Sad,5.0,58953.68200522133,6.0,5,,0.8786403690474718,-0.28036841671928026,nekvalitetan
Beograd,6.0,93608.27036318943,4.0,15,True,0.6408282964181994,-0.8574988763614237,nekvalitetan
Nis,9.0,70832.05641319054,5.0,15,True,-0.9142983763616352,0.37975408593183874,nekvalitetan
Kragujevac,3.0,51501.753001032055,4.0,11,,-0.24349376837728637,0.1425346761670469,kvalitetan
Novi Sad,2.0,85327.35171177088,4.0,8,,-0.08634293639126432,-0.10066152770146594,kvalitetan
Beograd,3.0,59716.00567140974,3.0,7,True,0.7057326326204015,0.5865229009425494,nekvalitetan
Nis,0.0,98592.24175208613,6.0,14,True,-0.3392868647741524,0.34784136013196776,kvalitetan
Kragujevac,0.0,87585.01757647301,,0,,0.2311998396482143,-0.3130642234619651,kvalitetan
Novi Sad,8.0,76165.17971925341,7.0,10,,-0.5992823199665431,0.047920467992765906,kvalitetan
Beograd,6.0,73467.98061577558,3.0,12,True,0.13306447507924563,0.24641155942900897,kvalitetan
Nis,,58466.625672108945,,8,True,0.03444661757026501,0.5531921546372017,kvalitetan
Kragujevac,5.0,59292.48270554842,6.0,16,,0.09526817195321033,-0.1190436982451191,kvalitetan
Novi Sad,5.0,55027.31973059006,7.0,6,,1.0421987545940745,-0.3360247923166229,nekvalitetan
Beograd,5.0,92283.54340962664,6.0,19,True,1.1610393462047537,0.13456483542190192,nekvalitetan
Nis,,97990.40366474833,0.0,12,True,-0.2067892036404232,0.26998990241022797,kvalitetan
Kragujevac,1.0,55134.2464274482,5.0,9,,0.00256109856898714,-0.4939308803030733,kvalitetan
Novi Sad,9.0,80576.05048924155,2.0,15,,0.08879485501339038,0.865872057343913,nekvalitetan
Beograd,2.0,59249.3963711749,4.0,14,True,-0.4103763313391148,0.07727327366647152,kvalitetan
Nis,7.0,88175.05532271562,4.0,0,True,1.1252579016875455,-0.1869008747519805,nekvalitetan
Kragujevac,1.0,79114.98856217152,5.0,0,,0.49740077202716254,0.18512961548523374,kvalitetan
Novi Sad,7.0,56352.616737780416,0.0,17,,0.26229672546012617,0.45090236386835353,kvalitetan
Beograd,,70438.1644580702,7.0,4,True,0.3707366540424098,-0.14817532816870727,kvalitetan
Nis,1.0,91325.34182318236,0.0,6,True,-0.6630281891752242,-0.18518057254168607,kvalitetan
Kragujevac,1.0,58994.35492720683,7.0,1,,-0.33916398489764404,-1.1659147137963095,nekvalitetan
Novi Sad,1.0,51971.64379750296,,3,,-0.24384853346637228,-0.1881152765874431,kvalitetan
Beograd,9.0,65300.57946063843,,8,True,-0.4170015594758445,-0.8323245619989258,nekvalitetan
Nis,,86008.75067363662,6.0,10,True,-0.8678740417862403,-0.7635271012844919,nekvalitetan
Kragujevac,8.0,87136.8639403297,6.0,4,,0.9675826983478604,-0.011735483012415046,nekvalitetan
Novi Sad,4.0,72410.9015944001,4.0,17,,0.3440536640249755,-0.06277212639979654,kvalitetan
Beograd,4.0,78367.25279490463,3.0,1,True,-0.9206106483930199,0.14572750116165795,nekvalitetan
Nis,,54898.755284049446,5.0,7,True,-0.004383074019270322,0.25963580493298544,kvalitetan
Kragujevac,,71000.00806342892,,13,,-0.2266169151087417,-0.46777093400198966,kvalitetan
Novi Sad,9.0,95067.8530321806,1.0,4,,0.3237648700132555,-0.17788633477326765,kvalitetan
Beograd,5.0,58816.85309312915,6.0,9,True,0.1757201550216711,0.058634652260422054,kvalitetan
Nis,8.0,72623.53930133104,3.0,13,True,0.9694381633187227,-0.3852752458178109,nekvalitetan
Kragujevac,7.0,87219.87819083928,2.0,1,,-0.12626679522145218,0.3142006195118869,kvalitetan
Novi Sad,4.0,66009.91248640078,4.0,11,,0.9400003834901615,-0.11884372356651732,nekvalitetan
Beograd,0.0,62472.91146306302,3.0,15,True,-0.9747709461137756,0.10043032489849102,nekvalitetan
Nis,,56272.256328038624,4.0,13,True,-0.3385562958274576,0.74720360396587,nekvalitetan
Kragujevac,3.0,96712.93586408763,,19,,0.396524702027814,-1.0251673594174413,nekvalitetan
Novi Sad,9.0,74734.09835447992,2.0,16,,0.15099571952800223,0.9210152990012392,nekvalitetan
Beograd,6.0,50685.36084493657,6.0,19,True,0.10319402475612742,0.17540472601878238,kvalitetan
Nis,4.0,62916.93060836518,,4,True,-1.0669062963566618,-0.45306667183936117,nekvalitetan
Kragujevac,8.0,83349.84251473087,2.0,1,,0.2368825816738007,0.28724016968147453,kvalitetan
Novi Sad,,68455.24994699682,5.0,11,,0.48471827139075696,0.09873440334530278,kvalitetan
Beograd,8.0,57842.975609090674,7.0,9,True,0.2832048330198519,-0.9602529476540563,nekvalitetan
Nis,6.0,98952.87657004972,,19,True,0.6234269804990735,0.4454353969243655,nekvalitetan
Kragujevac,2.0,50090.07345975179,,12,,-0.029810276259089108,-0.055781530125761314,kvalitetan
Novi Sad,1.0,73859.7562315444,4.0,2,,0.6921497766327154,-0.7619048773715658,nekvalitetan
Beograd,0.0,90224.29646886382,4.0,3,True,0.9838836218930594,-0.31224083191782903,nekvalitetan
Nis,4.0,81540.91810029531,4.0,3,True,0.41981225042067793,-0.14779672370192903,kvalitetan
Kragujevac,4.0,77493.52800641008,5.0,11,,0.35361139885204895,-1.272353937136788,nekvalitetan
Novi Sad,3.0,52615.67170630631,5.0,0,,-1.2954177357417025,-0.17877896365891444,nekvalitetan
Beograd,6.0,87275.11928654852,2.0,5,True,-0.3202487917238216,0.5468981099229957,kvalitetan
Nis,,74568.31221130057,0.0,16,True,0.26469583741811664,-0.9856789041991159,nekvalitetan
Kragujevac,4.0,94350.80385875009,2.0,13,,-0.253436720601414,0.2601621205973086,kvalitetan
Novi Sad,3.0,74222.99062683465,5.0,1,,-0.18686168722486657,0.923849885244778,nekvalitetan
Beograd,2.0,98685.92448578487,6.0,17,True,0.4971517752612347,-1.3012784596505642,nekvalitetan
Nis,5.0,74345.07154895512,,13,True,-0.44918431259754377,-0.9278389793570597,nekvalitetan
Kragujevac,0.0,85136.6624496548,1.0,1,,0.8050815103544985,-0.8486355527219511,nekvalitetan
Novi Sad,3.0,64555.48482532786,7.0,18,,0.42819146985777323,-0.04692283103781975,kvalitetan
Beograd,6.0,77536.11082580312,1.0,8,True,-0.3253657916226719,-0.8854671732429373,nekvalitetan
Nis,1.0,72045.38986806478,7.0,16,True,-0.5282413802621465,0.9402202742652174,nekvalitetan
Kragujevac,6.0,69421.84877555625,3.0,17,,-1.2189965024565814,-0.24768032868874687,nekvalitetan
Novi Sad,7.0,55698.19315907608,,2,,0.3091156890065956,-0.8488887717195137,nekvalitetan
Beograd,1.0,77091.72439636778,6.0,8,True,0.03900691591471117,0.33814361948964483,kvalitetan
Nis,5.0,54867.2223324153,4.0,0,True,0.15275290061056568,-0.903129949173895,nekvalitetan
Kragujevac,3.0,85669.18111743734,5.0,2,,-0.9551361231771639,0.16795690676086109,nekvalitetan
Novi Sad,7.0,81085.02820704586,1.0,0,,-0.2884290752827872,-0.25100272359190223,kvalitetan
Beograd,6.0,94896.36940100636,6.0,18,True,-0.8808604023633607,-0.5099121698428014,nekvalitetan
Nis,1.0,93535.98411081103,5.0,0,True,-1.0063511138116321,0.0028467716711634283,nekvalitetan
Kragujevac,2.0,52591.53415006783,7.0,11,,-0.51533168180098,-0.23489035989364432,kvalitetan
Novi Sad,,67168.10023414949,,6,,0.2212087807789832,-0.07194580923842937,kvalitetan
Beograd,,78322.61397133084,4.0,10,True,0.5936715000184014,-0.07561145436237413,nekvalitetan
Nis,2.0,96085.60681779784,6.0,16,True,-0.10776475766213232,-0.2871564992793403,kvalitetan
Kragujevac,0.0,83629.35850298987,6.0,13,,0.741744954241409,-0.45478166707106704,nekvalitetan
Novi Sad,4.0,99971.91095542983,4.0,2,,0.4873608714889156,-0.22884681702979792,kvalitetan
Beograd,6.0,53376.483646808345,5.0,1,True,-0.9506702249754873,0.19569818458633512,nekvalitetan
Nis,1.0,55158.91015715537,7.0,15,True,-0.30310059120937516,0.8838954596268376,nekvalitetan
Kragujevac,5.0,73188.5795952934,,8,,0.6164446141335781,0.9295853052350151,nekvalitetan
Novi Sad,1.0,61336.53071693907,2.0,9,,-0.11810851541726555,-0.4541102621587495,kvalitetan
Beograd,6.0,85603.22293388579,7.0,10,True,0.24111752290461302,0.4902293637779785,kvalitetan
Nis,9.0,87137.80598248602,2.0,9,True,0.2366282579238974,0.09506865044180735,kvalitetan
Kragujevac,4.0,77113.76025190912,2.0,17,,0.6096103597868768,-0.682813765175371,nekvalitetan
Novi Sad,,86215.51776337017,3.0,16,,0.408916192853738,1.104622809504557,nekvalitetan
Beograd,,90174.1291688287,3.0,9,True,0.36634437407762377,0.2015073509810686,kvalitetan
Nis,1.0,74153.35362569554,,5,True,0.17841181801067466,0.15783787274070413,kvalitetan
Kragujevac,6.0,69677.58352936525,1.0,15,,-0.15515790594901294,1.0616127571461933,nekvalitetan
Novi Sad,9.0,63223.40039563232,5.0,8,,-0.29640008932451195,-0.2807277416610461,kvalitetan
Beograd,9.0,72130.89228816696,3.0,10,True,0.2707563275723397,0.4214530382596857,kvalitetan
Nis,0.0,54356.122394553015,4.0,1,True,0.20163424985203102,-0.4187345289725224,kvalitetan
Kragujevac,8.0,63026.81408585196,,16,,-0.3129101533765519,0.01361550095166314,kvalitetan
Novi Sad,,56740.12971491072,,8,,-0.11839494074305701,0.23708573450794787,kvalitetan
Beograd,,93473.72618683694,0.0,12,True,0.4364767589627243,0.04795078521312613,kvalitetan
Nis,6.0,70265.33893823356,5.0,16,True,-0.7387313102666689,0.3236298684444845,nekvalitetan
